127.0.0.1 - - [29/Mar/2019:10:01:01 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:06 +0900] "GET /testgame/ HTTP/1.1" 200 3226
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:06 +0900] "GET /css/Style.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:07 +0900] "GET /testgame/img/figure_tatakai_kakutou.png HTTP/1.1" 200 58865
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:24 +0900] "POST /testgame/TitleAction.action;jsessionid=45F6F1C70E7C07412EBE494852A814C8 HTTP/1.1" 200 2900
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:24 +0900] "GET /testgame/WebContent/css/Style.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:28 +0900] "POST /testgame/LoginAction.action HTTP/1.1" 200 3401
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:29 +0900] "GET /testgame/img/figure_rpg_characters.png HTTP/1.1" 200 144824
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:29 +0900] "GET /testgame/WebContent/css/Style.css HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:29 +0900] "GET /testgame/img/bg_natural_sougen.jpg HTTP/1.1" 200 46988
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "POST /testgame/GoBattleAction.action HTTP/1.1" 200 5425
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/css/Style.css HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/toy_slime_suraimu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/61479976_p0_square1200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/character_gorilla_hardboiled.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/character_cthulhu_shoggoth.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/business_unicorn_company.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/business_man_macho.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/kyodai_robot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/yuusya_game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/shinigami.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:01:31 +0900] "GET /testgame/img/yhvh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:10 +0900] "POST /testgame/GoBattleAction.action HTTP/1.1" 200 5450
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/toy_slime_suraimu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/61479976_p0_square1200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/character_gorilla_hardboiled.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/character_cthulhu_shoggoth.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/business_unicorn_company.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/business_man_macho.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/shinigami.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/kyodai_robot.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/yuusya_game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:11 +0900] "GET /testgame/img/yhvh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:30 +0900] "POST /testgame/GoBattleAction.action HTTP/1.1" 200 5454
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:30 +0900] "GET /testgame/css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:30 +0900] "GET /testgame/img/toy_slime_suraimu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:30 +0900] "GET /testgame/img/61479976_p0_square1200.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:30 +0900] "GET /testgame/img/character_cthulhu_shoggoth.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2019:10:03:30 +0900] "GET /testgame/img/character_gorilla_hardboiled.png HTTP/1.1" 304 -
